Sample_ID,Cmass,Nmass,CNratio,Carea,N
BNL12835,466.3,16.9,27.59,45.77,1.66
BNL12837,237.8,7.7,30.88,23.1,0.75
BNL12839,492.1,20,24.61,52.59,2.14
BNL12841,471.5,10.5,44.9,75.82,1.69
BNL12842,509.1,16.6,30.67,53.95,1.76
BNL12843,504.4,25.1,20.1,43.63,2.17
BNL12844,488.1,20,24.41,50.51,2.07
BNL12846,475.8,13.5,35.24,97.11,2.76
BNL12849,449.3,16.9,26.59,43.19,1.62
BNL12853,456.9,23.5,19.44,37.43,1.93
BNL12854,507.3,17.7,28.66,50.45,1.76
BNL12855,479,26.8,17.87,36.19,2.02
BNL12856,493.1,19.8,24.9,57.73,2.32
BNL12858,479.1,27.5,17.42,35.29,2.03
BNL12861,511.6,18,28.42,82.66,2.91
BNL12863,489.6,21,23.31,52.18,2.24
BNL12863T,489.6,21,23.31,52.18,2.24
BNL12866,473.7,26.6,17.81,37.45,2.1
BNL12866T,473.7,26.6,17.81,37.45,2.1
BNL12867,432,17.9,24.13,44.47,1.84
BNL12869,479.5,17.1,28.04,64.08,2.29
BNL12872,504.7,19,26.56,39.91,1.5
BNL12873,361.8,23.1,15.66,35.66,2.28
BNL12873T,361.8,23.1,15.66,35.66,2.28
BNL12876,442.4,14.7,30.1,36.96,1.23
BNL12876T,442.4,14.7,30.1,36.96,1.23
BNL12877,450.5,24.9,18.09,39.42,2.18
BNL12877T,450.5,24.9,18.09,39.42,2.18
BNL12878,453.7,21.9,20.72,43.98,2.12
BNL12878T,453.7,21.9,20.72,43.98,2.12
BNL12879,496.6,18.7,26.56,38.68,1.46
BNL12879T,496.6,18.7,26.56,38.68,1.46
BNL12881,509.8,21.3,23.93,40.94,1.71
BNL12882,543.3,17.2,31.59,39.45,1.25
BNL12883,525.1,24.4,21.52,47.48,2.21
BNL12884,502.6,18.3,27.46,42.48,1.55
BNL12885,509.5,21.2,24.03,45.38,1.89
BNL12886,499.1,15.7,31.79,63.32,1.99
BNL12887,515.4,12.5,41.23,81.07,1.97
BNL12888,470.1,28.3,16.61,51.29,3.09
BNL12888T,470.1,28.3,16.61,51.29,3.09
BNL12892,480.7,11.7,41.09,126.54,3.08
BNL12892T,480.7,11.7,41.09,126.54,3.08
BNL12896,477.8,14.3,33.41,139.63,4.18
BNL12896T,477.8,14.3,33.41,139.63,4.18
BNL12898,491.3,13.3,36.94,168.9,4.57
BNL12898T,491.3,13.3,36.94,168.9,4.57
BNL12899,505.1,18.5,27.3,64.64,2.37
BNL12900,508.3,20,25.42,70.24,2.76
BNL12900T,508.3,20,25.42,70.24,2.76
BNL12901,516.8,14.2,36.39,46.43,1.28
BNL12901T,516.8,14.2,36.39,46.43,1.28
BNL12902,523.2,19.2,27.25,28.76,1.06
BNL12902T,523.2,19.2,27.25,28.76,1.06
BNL12903,484.9,20.6,23.54,56.74,2.41
BNL12903T,484.9,20.6,23.54,56.74,2.41
BNL12904,494.6,31.8,15.55,35.95,2.31
BNL12904T,494.6,31.8,15.55,35.95,2.31
BNL12905,511.5,17.8,28.74,37.42,1.3
BNL12905T,511.5,17.8,28.74,37.42,1.3
BNL12906,487.7,16.8,29.03,25.13,0.87
BNL12906T,487.7,16.8,29.03,25.13,0.87
BNL12907,496.4,17.7,28.05,55.33,1.97
BNL12907T,496.4,17.7,28.05,55.33,1.97
BNL12908,484.3,16.7,29,63.56,2.19
BNL12908T,484.3,16.7,29,63.56,2.19
BNL12909,516.5,23.5,21.98,29.35,1.34
BNL12909T,516.5,23.5,21.98,29.35,1.34
BNL12910,496.5,22.2,22.36,24.75,1.11
BNL12910T,496.5,22.2,22.36,24.75,1.11
BNL12911,489.8,29.1,16.83,28.03,1.67
BNL12911T,489.8,29.1,16.83,28.03,1.67
BNL12913,469.7,14.1,33.31,30.2,0.91
BNL12913T,469.7,14.1,33.31,30.2,0.91
BNL12914,480.1,14,34.29,38.72,1.13
BNL12914T,480.1,14,34.29,38.72,1.13
BNL12916,483.2,26.3,18.37,26.99,1.47
BNL12916T,483.2,26.3,18.37,26.99,1.47
BNL12919,506.9,14.8,34.25,55.87,1.63
BNL12919T,506.9,14.8,34.25,55.87,1.63
BNL12926,483.9,19.5,24.82,24.7,1
BNL12926T,483.9,19.5,24.82,24.7,1
